job_id,title,company_name_raw,company_name_clean,state_clean,state_abbr,city_raw,remote_status,employment_type,salary_min_annual,salary_max_annual,experience_min_years,education_level,soc_code,soc_name,onet_code,onet_name,naics_code,naics_name,skills,posted_at,apply_url
01d4af420850ac37394fd78bbcf0cebbfc21991a,fixed income data analyst,LSEG (London Stock Exchange Group),London Stock Exchange,New York,36,"Buffalo, NY",[None],Part-time (â‰¤ 32 hours),60200.0,112000.0,,"[
  ""No Education Listed""
]",15-2051,Data Scientists,15-2051.01,Business Intelligence Analysts,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","[
  ""Mathematics"",
  ""Research"",
  ""Data Validation"",
  ""Analytical Skills"",
  ""Communication"",
  ""Finance"",
  ""Fixed Income"",
  ""Quantitative Research"",
  ""Positivity"",
  ""Data Analysis"",
  ""Detail Oriented"",
  ""Historical Simulation"",
  ""International Finance"",
  ""Resourcefulness"",
  ""Economics"",
  ""Computer Science""
]",8/28/2024,"[
  ""https://lseg.wd3.myworkdayjobs.com/en-US/Careers/job/Buffalo-United-States/Fixed-Income-Data-Analyst_R0092911-1"",
  ""https://www.indeed.com/viewjob?jk=090028b2ac0c6a18"",
  ""https://www.simplyhired.com/job/bbgVsYT-teu5eqb74Zqpt5eS_ntRURJ9-dCb_am3kiGTI5vV0e6bxg""
]"
030d3611e94c418113d43f2ae364b845a330a5f6,data analyst sf,Concentrix,Concentrix,Kansas,20,"Topeka, KS",[None],Full-time (> 32 hours),,,,"[
  ""No Education Listed""
]",15-2051,Data Scientists,15-2051.01,Business Intelligence Analysts,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","[
  ""Salesforce"",
  ""Effective Communication"",
  ""Relationship Building"",
  ""Office Equipment"",
  ""Data Validation"",
  ""Critical Thinking"",
  ""Cross-Functional Collaboration"",
  ""Problem Solving"",
  ""Microsoft Outlook"",
  ""Communication"",
  ""Leadership"",
  ""Data Analysis"",
  ""Strategic Thinking"",
  ""Business To Business"",
  ""Detail Oriented"",
  ""Microsoft 365"",
  ""Microsoft Excel""
]",8/6/2024,"[
  ""https://dejobs.org/topeka-ks/data-analyst-sf/3A0280AB77A3412D8003E704E74E31E9/job/""
]"
037b510b8ce7c996b4bf7499bd4aa941459d04fd,data analyst,S&P Global,S&P Global,New York,36,"New York, NY",[None],Full-time (> 32 hours),56392.0,98949.0,2,"[
  ""No Education Listed""
]",15-2051,Data Scientists,15-2051.01,Business Intelligence Analysts,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","[
  ""Automotive Industry"",
  ""Salesforce"",
  ""Quality Control"",
  ""Analytical Thinking"",
  ""Data Extraction"",
  ""Data Science"",
  ""Dataflow"",
  ""Development Environment"",
  ""Communication"",
  ""Vlookups"",
  ""Python (Programming Language)"",
  ""Dealership Management Systems"",
  ""Customer Support"",
  ""Data Quality"",
  ""Dealing With Ambiguity"",
  ""Marketing"",
  ""Data Analysis"",
  ""SQL (Programming Language)"",
  ""C# (Programming Language)"",
  ""Data-Driven Decision Making"",
  ""DataOps"",
  ""Troubleshooting (Problem Solving)"",
  ""Verbal Communication Skills"",
  ""Microsoft Excel"",
  ""Customer Relationship Management"",
  ""Customer Service"",
  ""Pivot Tables And Charts"",
  ""Problem Solving"",
  ""Consumer Behaviour""
]",7/8/2024,"[
  ""https://dejobs.org/new-york-ny/data-analyst/C0458B2CE2994A9993308661A27DEE42/job/"",
  ""https://www.simplyhired.com/job/lHQU8et1GgkICkKm6Me5nJ12s6QKSIbzroKJA9m4-av6X-3jazfllA"",
  ""https://www.efinancialcareers.com/jobs-USA-NY-New_York-Data_Analyst.id21297779"",
  ""https://www.indeed.com/viewjob?jk=e31a52c0a4c85ad9""
]"
057f52e74c2e894ac593a10020eaf734114c6844,data analyst iii,OrangePeople,OrangePeople,California,6,"Menlo Park, CA",[None],Full-time (> 32 hours),,,4,"[
  ""Associate degree""
]",15-2051,Data Scientists,15-2051.01,Business Intelligence Analysts,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","[
  ""Forecasting"",
  ""Team Building"",
  ""Analytical Skills"",
  ""Innovation"",
  ""Python (Programming Language)"",
  ""Dashboard"",
  ""Leadership"",
  ""Strategic Decision Making"",
  ""Writing"",
  ""Data Analysis"",
  ""SQL (Programming Language)"",
  ""Account Management"",
  ""Consulting"",
  ""Peer Review"",
  ""Computer Programming"",
  ""Problem Solving"",
  ""Data Visualization""
]",7/9/2024,"[
  ""https://www.disabledperson.com/jobs/60281836-data-analyst-iii"",
  ""https://www.dice.com/job-detail/616c5569-f7b5-4805-a7ca-b9d6cefff04d""
]"
05b14f055e94b5f0b57159d5ebe36a42a7e745af,data analyst,SoundCloud,Soundcloud,New York,36,"New York, NY",Remote,Full-time (> 32 hours),75000.0,85000.0,1,"[
  ""Master's degree""
]",15-2051,Data Scientists,15-2051.01,Business Intelligence Analysts,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","[
  ""Power BI"",
  ""Curiosity"",
  ""BigQuery"",
  ""Business Analytics"",
  ""Product Analytics"",
  ""Data Pipelines"",
  ""Data Science"",
  ""Communication"",
  ""Dataflow"",
  ""Influencing Skills"",
  ""Creative Problem Solving"",
  ""Dashboard"",
  ""Data Quality"",
  ""Decision Making"",
  ""Looker Analytics"",
  ""Strategic Partnership"",
  ""Statistics"",
  ""Extract Transform Load (ETL)"",
  ""Business Intelligence"",
  ""Data Analysis"",
  ""User Research"",
  ""Behavioral Analytics"",
  ""SQL (Programming Language)"",
  ""Scalability"",
  ""Troubleshooting (Problem Solving)"",
  ""Amazon Web Services"",
  ""Apache Airflow"",
  ""Institutional Knowledge"",
  ""Data Visualization"",
  ""Tableau (Business Intelligence Software)"",
  ""Computer Science""
]",7/3/2024,"[
  ""https://www.indeed.com/viewjob?jk=35b65d28c61dcb38"",
  ""https://www.simplyhired.com/job/zYj-sdZq_V9_PrzOA_xm32gqM5YQPHJvoqhEb3mNZG9R7pEs7DpaEA""
]"
05c109046958a1d03c1a2a3787fc1138706d4e52,data analyst ii,Orangepeople,OrangePeople,Washington,53,"Bellevue, WA",[None],Full-time (> 32 hours),,,2,"[
  ""Bachelor's degree""
]",15-2051,Data Scientists,15-2051.01,Business Intelligence Analysts,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","[
  ""Research"",
  ""Workflow Management"",
  ""Team Building"",
  ""Investigation"",
  ""Data Science"",
  ""Data Engineering"",
  ""Finance"",
  ""Influencing Skills"",
  ""Critical Thinking"",
  ""Innovation"",
  ""PHP (Scripting Language)"",
  ""Python (Programming Language)"",
  ""Investment Decisions"",
  ""Data Analysis"",
  ""Marketing"",
  ""Operations"",
  ""Product Engineering"",
  ""SQL (Programming Language)"",
  ""Organizational Skills"",
  ""Investments"",
  ""Rapid Prototyping"",
  ""Attack Patterns"",
  ""Data Pipelines"",
  ""Account Management"",
  ""Scripting"",
  ""Product Strategy"",
  ""Consulting"",
  ""Sales"",
  ""Peer Review"",
  ""Computer Programming"",
  ""Vulnerability"",
  ""Presentations"",
  ""R (Programming Language)""
]",5/14/2024,"[
  ""https://www.dice.com/job-detail/dad7fc30-1bb0-4073-9f21-a2f22a457bd1"",
  ""https://www.military.com/jobView/data-analyst-ii-job-bellevueredmond-washington-id-core-273409966?page_index=26""
]"
06975c54ed6b5e020b52d6f09a0b880977c9ca26,data analyst,Flexential Corp,Flexential,Colorado,8,"Aurora, CO",[None],Full-time (> 32 hours),,,5,"[
  ""Bachelor's degree"",
  ""Master's degree""
]",15-2051,Data Scientists,15-2051.01,Business Intelligence Analysts,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","[
  ""Programming Languages"",
  ""Management"",
  ""Data Modeling"",
  ""Agile Methodology"",
  ""Data Extraction"",
  ""Performance Tuning"",
  ""Communication"",
  ""Data Warehousing"",
  ""Data Management"",
  ""Business Process"",
  ""Business Metrics"",
  ""Performance Metric"",
  ""Innovation"",
  ""Python (Programming Language)"",
  ""Emerging Technologies"",
  ""Dashboard"",
  ""Key Performance Indicators (KPIs)"",
  ""Pentaho Data Integration"",
  ""Decision Making"",
  ""Mathematics"",
  ""Data Analysis"",
  ""Statistics"",
  ""Billing"",
  ""Reporting Tools"",
  ""Billing Systems"",
  ""Detail Oriented"",
  ""SQL (Programming Language)"",
  ""Data Collection"",
  ""Data-Driven Decision Making"",
  ""Ergonomics"",
  ""Data Transformation"",
  ""Troubleshooting (Problem Solving)"",
  ""Process Improvement"",
  ""Data Integrity"",
  ""Revenue Management"",
  ""Economics"",
  ""Business Intelligence"",
  ""Problem Solving"",
  ""Database Management"",
  ""Tableau (Business Intelligence Software)"",
  ""Revenue Forecasting"",
  ""Computer Science"",
  ""R (Programming Language)""
]",5/3/2024,"[
  ""https://www.indeed.com/viewjob?jk=4e87e44da92ac24e"",
  ""https://www.simplyhired.com/job/5McK1wLnoci5Yqe-xdWu9GkBBZXGQASvmRkJiI-iJa2PYkgsW58khg""
]"
07abe0fdba4a18d44553c3495e78cbfc97bea556,product data analyst paze,Early Warning Services,Early Warning Services,New York,36,"New York, NY",[None],Full-time (> 32 hours),100000.0,125000.0,4,"[
  ""Bachelor's degree"",
  ""Master's degree""
]",15-2051,Data Scientists,15-2051.01,Business Intelligence Analysts,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","[
  ""Detail Oriented"",
  ""Office Equipment"",
  ""Management"",
  ""Data Element"",
  ""Business Analytics"",
  ""Data Reporting"",
  ""Process Improvement"",
  ""Business Acumen"",
  ""Analytical Skills"",
  ""Data Manipulation"",
  ""Data Science"",
  ""Data Engineering"",
  ""Data Profiling"",
  ""Amazon Redshift"",
  ""Quantitative Research"",
  ""Finance"",
  ""Critical Thinking"",
  ""Lifting Ability"",
  ""Data Analysis"",
  ""Communication"",
  ""Python (Programming Language)"",
  ""Ad Hoc Analysis"",
  ""Dashboard"",
  ""Leadership"",
  ""Data Quality"",
  ""Decision Making"",
  ""Mathematics"",
  ""Data Mapping"",
  ""Organizational Skills"",
  ""SQL (Programming Language)"",
  ""Multitasking"",
  ""Quick Learning"",
  ""Amazon Web Services"",
  ""Data Lineage"",
  ""Visual Acuity"",
  ""Economics"",
  ""Problem Solving"",
  ""Financial Services"",
  ""Data Visualization"",
  ""Risk Management"",
  ""Tableau (Business Intelligence Software)""
]",9/6/2024,"[
  ""https://earlywarning.wd5.myworkdayjobs.com/en-us/earlywarningcareers/job/product-data-analyst---paze_req2024638"",
  ""http://www.jobsinpaterson.com/job/detail/80887398/Product-Data-Analyst-Paze"",
  ""https://diversityjobs.com/career/9226215/Product-Data-Analyst-Paze-New-York-New-York"",
  ""https://www.simplyhired.com/job/gBG3O_RuLmwJySlfjZAxbem-jxlIK8tdjqsxgkV9Re1rBf5ulkJhvw""
]"
0b098a3f977855ff8bae0c87fa8f46cc310da3bb,lead data analyst,"OCLC, Inc.",Oclc Gmbh Deutschland,Ohio,39,"Dublin, OH",[None],Full-time (> 32 hours),,,10,"[
  ""Master's degree""
]",15-2051,Data Scientists,15-2051.01,Business Intelligence Analysts,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","[
  ""Mathematics"",
  ""Research"",
  ""Perl (Programming Language)"",
  ""Amazon S3"",
  ""Data Import/Export"",
  ""Process Improvement"",
  ""Performance Tuning"",
  ""Data Science"",
  ""Communication"",
  ""Python (Programming Language)"",
  ""File Transfer Protocol (FTP)"",
  ""Dashboard"",
  ""Leadership"",
  ""Data Quality"",
  ""Data Security"",
  ""Data Analysis"",
  ""Statistics"",
  ""Machine Learning"",
  ""Key Performance Indicators (KPIs)"",
  ""Data Store"",
  ""Extensible Stylesheet Language Transformations (XSLT)"",
  ""Scalability"",
  ""Power BI"",
  ""Query Languages"",
  ""Data Visualization"",
  ""Tableau (Business Intelligence Software)"",
  ""Computer Science"",
  ""R (Programming Language)"",
  ""SQL (Programming Language)"",
  ""Log Files""
]",6/8/2024,"[
  ""https://www.jobit.com/search/jobs/6849891/Lead-Data-Analyst.html"",
  ""https://dejobs.org/dublin-oh/lead-data-analyst/743A5A8D74A84BFDBD040906400FED59/job/""
]"
0b729fcb9d1ad6345776ab73466450681d0d6595,sr business intelligence analyst,Concentrix,Concentrix,Pennsylvania,42,"Harrisburg, PA",[None],Full-time (> 32 hours),,,,"[
  ""No Education Listed""
]",15-2051,Data Scientists,15-2051.01,Business Intelligence Analysts,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","[
  ""Workflow Management"",
  ""Data Infrastructure"",
  ""Office Equipment"",
  ""Key Performance Indicators (KPIs)"",
  ""Planning"",
  ""Business Metrics"",
  ""Operational Excellence"",
  ""Leadership"",
  ""Thought Leadership"",
  ""Decision Support Systems"",
  ""Marketing"",
  ""Business Intelligence"",
  ""Operations"",
  ""Stakeholder Training"",
  ""SQL (Programming Language)""
]",5/8/2024,"[
  ""https://concentrix.dejobs.org/harrisburg-pa/sr-business-intelligence-analyst/A89FFD4791BD49088D32F90C1B0514D2/job/?vs=167&utm_source=Pennsylvania State Job Bank-DE&utm_medium=NLX&utm_campaign=Pennsylvania State Job Bank""
]"
